channel,utm_source,utm_medium,utm_campaign,utm_content,asset,planned_send_date,sent,clicks,sales,notes
Email,ml,email,bwcc_launch,email1_launch,01_email_launch.md,2026-06-19,,,,
Email,ml,email,bwcc_launch,email2_curriculum,07_email_2_full.md,2026-06-22,,,,
Email,ml,email,bwcc_launch,email3_objection,08_email_3_full.md,2026-06-26,,,,
Email,ml,email,bwcc_launch,email4_halfway,09_email_4_full.md,2026-06-30,,,,
Email,ml,email,bwcc_launch,email5_bonus_close,10_email_5_full.md,2026-07-05,,,,
Email,ml,email,bwcc_launch,email6_cost,11_email_6_full.md,2026-07-08,,,,
Email,ml,email,bwcc_launch,email7_48h,12_email_7_full.md,2026-07-10,,,,
Email,ml,email,bwcc_launch,email8_24h,13_email_8_full.md,2026-07-11,,,,
Email,ml,email,bwcc_launch,email9_am,14_email_9_close.md,2026-07-12,,,,
Email,ml,email,bwcc_launch,email9_pm_resend,14_email_9_close.md,2026-07-12,,,,
Twitter,twitter,launch_tweet,bwcc_launch,launch_single,02_tweets_week1.md,2026-06-19,,,,
Twitter,twitter,launch_thread,bwcc_launch,launch_thread,02_tweets_week1.md,2026-06-19,,,,
LinkedIn,linkedin,post,bwcc_launch,launch_post,06_linkedin_post.md,2026-06-19,,,,
DM,alums,personal_email,bwcc_launch,alum_dm,03_dm_to_ai_pm_alums.md,2026-06-19,,,,
Partner,partner1,newsletter,bwcc_launch,partner1_nl,16_partner_cross_promo.md,,,,,
Partner,partner2,newsletter,bwcc_launch,partner2_nl,16_partner_cross_promo.md,,,,,
